0,1 Mo,2 Mo,3 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr
05/13/16,0.25,N/A,0.29,0.38,0.55,0.76,0.91,1.22,1.51,1.71,2.14,2.55
05/16/16,0.21,N/A,0.28,0.38,0.57,0.79,0.94,1.26,1.55,1.75,2.18,2.59
05/17/16,0.25,N/A,0.28,0.40,0.58,0.82,0.97,1.29,1.57,1.76,2.18,2.59
05/18/16,0.25,N/A,0.30,0.43,0.63,0.90,1.08,1.41,1.69,1.87,2.27,2.67
05/19/16,0.25,N/A,0.31,0.43,0.64,0.89,1.06,1.38,1.67,1.85,2.24,2.64
05/20/16,0.26,N/A,0.33,0.46,0.67,0.89,1.05,1.38,1.65,1.85,2.24,2.63
05/23/16,0.26,N/A,0.35,0.48,0.69,0.91,1.05,1.38,1.65,1.84,2.23,2.63
05/24/16,0.28,N/A,0.35,0.48,0.69,0.92,1.08,1.41,1.68,1.86,2.25,2.65
05/25/16,0.24,N/A,0.33,0.47,0.67,0.92,1.08,1.40,1.69,1.87,2.27,2.67
05/26/16,0.17,N/A,0.31,0.46,0.65,0.87,1.03,1.35,1.65,1.83,2.24,2.64
05/27/16,0.23,N/A,0.32,0.47,0.68,0.90,1.06,1.39,1.67,1.85,2.25,2.65
05/31/16,0.27,N/A,0.34,0.49,0.68,0.87,1.03,1.37,1.66,1.84,2.23,2.64
06/01/16,0.27,N/A,0.30,0.49,0.70,0.91,1.07,1.39,1.67,1.85,2.22,2.63
06/02/16,0.19,N/A,0.29,0.48,0.68,0.89,1.03,1.36,1.63,1.81,2.17,2.58
06/03/16,0.19,N/A,0.30,0.43,0.60,0.78,0.92,1.23,1.50,1.71,2.09,2.52
06/06/16,0.19,N/A,0.28,0.43,0.60,0.80,0.94,1.25,1.53,1.73,2.12,2.55
06/07/16,0.20,N/A,0.28,0.43,0.59,0.78,0.94,1.23,1.51,1.72,2.10,2.54
06/08/16,0.20,N/A,0.24,0.43,0.60,0.78,0.93,1.23,1.51,1.71,2.08,2.51
06/09/16,0.21,N/A,0.26,0.43,0.59,0.77,0.91,1.22,1.49,1.68,2.05,2.48
06/10/16,0.18,N/A,0.26,0.42,0.57,0.73,0.87,1.17,1.44,1.64,2.02,2.44
06/13/16,0.23,N/A,0.27,0.40,0.55,0.73,0.84,1.14,1.42,1.62,2.01,2.43
06/14/16,0.24,N/A,0.27,0.41,0.55,0.74,0.85,1.15,1.42,1.62,2.00,2.43
06/15/16,0.23,N/A,0.26,0.37,0.52,0.69,0.81,1.10,1.38,1.60,1.99,2.43
06/16/16,0.23,N/A,0.27,0.36,0.53,0.70,0.81,1.10,1.37,1.57,1.96,2.39
06/17/16,0.22,N/A,0.27,0.37,0.51,0.70,0.83,1.13,1.41,1.62,1.99,2.43
06/20/16,0.23,N/A,0.28,0.41,0.56,0.74,0.87,1.17,1.45,1.67,2.03,2.47
06/21/16,0.25,N/A,0.27,0.41,0.57,0.76,0.89,1.22,1.49,1.71,2.07,2.50
06/22/16,0.25,N/A,0.27,0.40,0.56,0.75,0.88,1.20,1.49,1.69,2.06,2.50
06/23/16,0.27,N/A,0.31,0.43,0.58,0.78,0.92,1.25,1.54,1.74,2.12,2.55
06/24/16,0.24,N/A,0.27,0.38,0.48,0.64,0.76,1.08,1.35,1.57,1.96,2.42
06/27/16,0.22,N/A,0.27,0.35,0.45,0.61,0.70,1.00,1.26,1.46,1.83,2.28
06/28/16,0.25,N/A,0.26,0.35,0.45,0.61,0.71,1.00,1.26,1.46,1.83,2.27
06/29/16,0.18,N/A,0.26,0.35,0.46,0.62,0.74,1.03,1.30,1.50,1.86,2.30
06/30/16,0.20,N/A,0.26,0.36,0.45,0.58,0.71,1.01,1.29,1.49,1.86,2.30
07/01/16,0.24,N/A,0.28,0.37,0.45,0.59,0.71,1.00,1.27,1.46,1.81,2.24
07/05/16,0.27,N/A,0.28,0.35,0.44,0.56,0.66,0.94,1.19,1.37,1.72,2.14
07/06/16,0.26,N/A,0.27,0.36,0.46,0.58,0.69,0.95,1.20,1.38,1.72,2.14
07/07/16,0.27,N/A,0.29,0.37,0.47,0.58,0.69,0.97,1.21,1.40,1.72,2.14
07/08/16,0.26,N/A,0.28,0.36,0.48,0.61,0.71,0.95,1.19,1.37,1.69,2.11
07/11/16,0.28,N/A,0.31,0.40,0.50,0.66,0.77,1.03,1.27,1.43,1.73,2.14
07/12/16,0.29,N/A,0.29,0.40,0.52,0.69,0.81,1.10,1.35,1.53,1.82,2.24
07/13/16,0.29,N/A,0.31,0.40,0.51,0.68,0.80,1.07,1.32,1.48,1.77,2.18
07/14/16,0.29,N/A,0.32,0.41,0.53,0.68,0.82,1.10,1.36,1.53,1.84,2.25
07/15/16,0.27,N/A,0.32,0.42,0.52,0.71,0.87,1.15,1.42,1.60,1.90,2.30
07/18/16,0.26,N/A,0.32,0.44,0.52,0.68,0.85,1.14,1.40,1.59,1.90,2.30
07/19/16,0.29,N/A,0.31,0.44,0.56,0.70,0.84,1.12,1.38,1.56,1.88,2.27
07/20/16,0.28,N/A,0.32,0.44,0.56,0.73,0.86,1.15,1.41,1.59,1.91,2.30
07/21/16,0.28,N/A,0.32,0.44,0.54,0.70,0.82,1.11,1.38,1.57,1.90,2.29
07/22/16,0.29,N/A,0.33,0.44,0.55,0.71,0.84,1.13,1.40,1.57,1.90,2.29
07/25/16,0.28,N/A,0.32,0.44,0.55,0.72,0.87,1.15,1.41,1.58,1.90,2.29
07/26/16,0.24,N/A,0.31,0.43,0.55,0.75,0.87,1.15,1.40,1.57,1.89,2.28
07/27/16,0.25,N/A,0.31,0.40,0.53,0.73,0.83,1.10,1.35,1.52,1.84,2.23
07/28/16,0.19,N/A,0.25,0.39,0.53,0.72,0.82,1.09,1.35,1.52,1.83,2.23
07/29/16,0.19,N/A,0.28,0.38,0.50,0.67,0.76,1.03,1.29,1.46,1.78,2.18
08/01/16,0.20,N/A,0.29,0.40,0.50,0.67,0.78,1.06,1.33,1.51,1.84,2.24
08/02/16,0.28,N/A,0.29,0.41,0.50,0.67,0.79,1.07,1.36,1.55,1.88,2.29
08/03/16,0.26,N/A,0.28,0.42,0.53,0.67,0.78,1.07,1.35,1.55,1.88,2.29
08/04/16,0.24,N/A,0.26,0.41,0.51,0.64,0.76,1.03,1.31,1.51,1.84,2.25
08/05/16,0.23,N/A,0.28,0.45,0.56,0.72,0.86,1.13,1.41,1.59,1.91,2.32
08/08/16,0.27,N/A,0.31,0.45,0.57,0.74,0.86,1.15,1.42,1.59,1.91,2.30
08/09/16,0.27,N/A,0.29,0.44,0.55,0.71,0.84,1.11,1.38,1.55,1.86,2.25
08/10/16,0.27,N/A,0.28,0.43,0.55,0.69,0.80,1.07,1.34,1.50,1.83,2.23
08/11/16,0.27,N/A,0.28,0.45,0.55,0.76,0.88,1.16,1.42,1.57,1.89,2.28
08/12/16,0.27,N/A,0.29,0.43,0.56,0.71,0.82,1.10,1.36,1.51,1.85,2.23
08/15/16,0.26,N/A,0.31,0.46,0.56,0.72,0.85,1.14,1.40,1.55,1.90,2.27
08/16/16,0.27,N/A,0.27,0.45,0.57,0.76,0.87,1.16,1.42,1.57,1.92,2.29
08/17/16,0.27,N/A,0.30,0.46,0.58,0.74,0.86,1.15,1.41,1.56,1.90,2.27
08/18/16,0.27,N/A,0.30,0.44,0.58,0.71,0.81,1.12,1.38,1.53,1.89,2.26
08/19/16,0.27,N/A,0.30,0.44,0.59,0.76,0.88,1.17,1.43,1.58,1.93,2.29
08/22/16,0.24,N/A,0.29,0.45,0.58,0.76,0.86,1.15,1.40,1.55,1.88,2.24
08/23/16,0.28,N/A,0.30,0.45,0.58,0.74,0.86,1.15,1.40,1.55,1.88,2.24
08/24/16,0.28,N/A,0.31,0.46,0.59,0.76,0.87,1.13,1.40,1.56,1.89,2.24
08/25/16,0.28,N/A,0.33,0.46,0.60,0.78,0.89,1.16,1.43,1.58,1.91,2.27
08/26/16,0.28,N/A,0.34,0.47,0.62,0.84,0.96,1.23,1.49,1.62,1.96,2.29
08/29/16,0.25,N/A,0.33,0.49,0.62,0.81,0.92,1.18,1.43,1.57,1.90,2.22
08/30/16,0.23,N/A,0.33,0.47,0.61,0.80,0.92,1.18,1.44,1.57,1.91,2.23
08/31/16,0.26,N/A,0.33,0.47,0.61,0.80,0.92,1.19,1.45,1.58,1.90,2.23
09/01/16,0.27,N/A,0.33,0.47,0.60,0.78,0.91,1.18,1.44,1.57,1.90,2.23
09/02/16,0.25,N/A,0.33,0.45,0.59,0.80,0.92,1.20,1.47,1.60,1.95,2.28
09/06/16,0.24,N/A,0.32,0.45,0.56,0.74,0.86,1.13,1.40,1.55,1.90,2.24
09/07/16,0.25,N/A,0.34,0.49,0.57,0.74,0.86,1.12,1.39,1.54,1.89,2.23
09/08/16,0.26,N/A,0.35,0.50,0.57,0.78,0.91,1.19,1.46,1.61,1.98,2.32
09/09/16,0.24,N/A,0.35,0.51,0.58,0.79,0.93,1.23,1.51,1.67,2.05,2.39
09/12/16,0.24,N/A,0.37,0.53,0.57,0.79,0.92,1.21,1.50,1.68,2.05,2.40
09/13/16,0.25,N/A,0.36,0.54,0.63,0.80,0.95,1.26,1.56,1.73,2.12,2.47
09/14/16,0.24,N/A,0.33,0.52,0.62,0.77,0.90,1.21,1.52,1.70,2.10,2.44
09/15/16,0.20,N/A,0.29,0.49,0.60,0.74,0.87,1.20,1.51,1.71,2.13,2.48
09/16/16,0.20,N/A,0.30,0.50,0.61,0.77,0.91,1.21,1.51,1.70,2.10,2.44
09/19/16,0.16,N/A,0.30,0.48,0.60,0.79,0.92,1.22,1.52,1.70,2.10,2.45
09/20/16,0.17,N/A,0.30,0.49,0.61,0.79,0.93,1.20,1.50,1.69,2.09,2.43
09/21/16,0.12,N/A,0.22,0.44,0.61,0.79,0.92,1.20,1.48,1.66,2.06,2.39
09/22/16,0.10,N/A,0.18,0.39,0.60,0.79,0.91,1.18,1.46,1.63,2.02,2.34
09/23/16,0.09,N/A,0.18,0.40,0.60,0.77,0.90,1.16,1.44,1.62,2.02,2.34
09/26/16,0.12,N/A,0.25,0.42,0.58,0.76,0.87,1.13,1.41,1.59,2.00,2.32
09/27/16,0.16,N/A,0.26,0.42,0.58,0.75,0.86,1.12,1.39,1.56,1.96,2.28
09/28/16,0.14,N/A,0.27,0.44,0.60,0.75,0.87,1.13,1.41,1.57,1.96,2.29
09/29/16,0.12,N/A,0.26,0.43,0.59,0.73,0.85,1.12,1.39,1.56,1.95,2.28
09/30/16,0.20,N/A,0.29,0.45,0.59,0.77,0.88,1.14,1.42,1.60,1.99,2.32
10/03/16,0.25,N/A,0.32,0.48,0.63,0.80,0.91,1.18,1.46,1.63,2.01,2.34
10/04/16,0.28,N/A,0.33,0.48,0.64,0.82,0.95,1.22,1.51,1.69,2.08,2.40
10/05/16,0.26,N/A,0.32,0.48,0.65,0.85,0.98,1.26,1.54,1.72,2.11,2.44
10/06/16,0.26,N/A,0.33,0.46,0.65,0.86,1.00,1.28,1.58,1.75,2.14,2.46
10/07/16,0.26,N/A,0.33,0.46,0.66,0.83,0.99,1.26,1.55,1.73,2.14,2.46
10/11/16,0.27,N/A,0.35,0.48,0.69,0.87,1.03,1.30,1.58,1.77,2.17,2.50
10/12/16,0.26,N/A,0.37,0.49,0.68,0.87,0.99,1.31,1.60,1.79,2.19,2.51
10/13/16,0.26,N/A,0.30,0.45,0.66,0.85,1.00,1.27,1.56,1.75,2.15,2.48
10/14/16,0.26,N/A,0.32,0.46,0.66,0.84,1.00,1.28,1.58,1.80,2.22,2.55
10/17/16,0.24,N/A,0.34,0.47,0.65,0.81,0.98,1.26,1.56,1.77,2.19,2.52
10/18/16,0.26,N/A,0.34,0.47,0.66,0.82,0.96,1.24,1.54,1.75,2.18,2.51
10/19/16,0.25,N/A,0.35,0.48,0.65,0.81,0.96,1.24,1.54,1.76,2.18,2.51
10/20/16,0.25,N/A,0.35,0.48,0.66,0.84,0.98,1.26,1.55,1.76,2.17,2.50
10/21/16,0.25,N/A,0.34,0.47,0.66,0.84,0.98,1.25,1.53,1.74,2.15,2.48
10/24/16,0.23,N/A,0.33,0.46,0.66,0.84,1.00,1.27,1.56,1.77,2.18,2.52
10/25/16,0.22,N/A,0.34,0.49,0.66,0.86,1.00,1.29,1.56,1.77,2.17,2.50
10/26/16,0.25,N/A,0.33,0.49,0.67,0.86,1.01,1.30,1.59,1.79,2.20,2.53
10/27/16,0.19,N/A,0.30,0.49,0.68,0.87,1.04,1.33,1.64,1.85,2.26,2.60
10/28/16,0.18,N/A,0.30,0.49,0.66,0.86,1.02,1.33,1.63,1.86,2.27,2.62
10/31/16,0.20,N/A,0.34,0.51,0.66,0.86,1.00,1.31,1.62,1.84,2.25,2.58
11/01/16,0.24,N/A,0.35,0.50,0.65,0.83,0.99,1.30,1.61,1.83,2.24,2.58
11/02/16,0.24,N/A,0.37,0.51,0.64,0.81,0.98,1.26,1.57,1.81,2.22,2.56
11/03/16,0.24,N/A,0.38,0.52,0.64,0.81,0.98,1.26,1.58,1.82,2.25,2.60
11/04/16,0.25,N/A,0.38,0.52,0.62,0.80,0.95,1.24,1.55,1.79,2.22,2.56
11/07/16,0.28,N/A,0.41,0.54,0.63,0.82,0.99,1.29,1.60,1.83,2.26,2.60
11/08/16,0.28,N/A,0.43,0.56,0.71,0.87,1.04,1.34,1.65,1.88,2.29,2.63
11/09/16,0.30,N/A,0.45,0.56,0.72,0.90,1.12,1.49,1.84,2.07,2.52,2.88
11/10/16,0.30,N/A,0.48,0.59,0.72,0.92,1.17,1.56,1.92,2.15,2.58,2.94
11/14/16,0.32,N/A,0.55,0.65,0.77,1.00,1.27,1.66,2.01,2.23,2.65,2.99
11/15/16,0.30,N/A,0.51,0.61,0.78,1.02,1.28,1.68,2.03,2.23,2.64,2.97
11/16/16,0.32,N/A,0.47,0.62,0.76,1.00,1.28,1.68,2.03,2.22,2.61,2.92
11/17/16,0.30,N/A,0.44,0.61,0.77,1.04,1.31,1.73,2.08,2.29,2.69,3.01
11/18/16,0.28,N/A,0.44,0.60,0.77,1.07,1.36,1.80,2.14,2.34,2.70,3.01
11/21/16,0.28,N/A,0.46,0.60,0.78,1.08,1.36,1.79,2.13,2.33,2.69,3.00
11/22/16,0.34,N/A,0.49,0.61,0.78,1.07,1.35,1.77,2.12,2.31,2.69,3.00
11/23/16,0.35,N/A,0.51,0.63,0.80,1.12,1.40,1.83,2.17,2.36,2.71,3.02
11/25/16,0.34,N/A,0.49,0.62,0.81,1.12,1.41,1.83,2.18,2.36,2.71,3.01
11/28/16,0.32,N/A,0.48,0.60,0.79,1.11,1.38,1.80,2.13,2.32,2.68,2.99
11/29/16,0.34,N/A,0.48,0.60,0.78,1.09,1.37,1.78,2.12,2.30,2.66,2.95
11/30/16,0.38,N/A,0.48,0.62,0.80,1.11,1.40,1.83,2.18,2.37,2.73,3.02
12/01/16,0.32,N/A,0.48,0.60,0.82,1.14,1.45,1.90,2.25,2.45,2.82,3.10
12/02/16,0.34,N/A,0.49,0.61,0.80,1.11,1.40,1.84,2.20,2.40,2.78,3.08
12/05/16,0.34,N/A,0.49,0.63,0.82,1.13,1.42,1.84,2.19,2.39,2.76,3.05
12/06/16,0.35,N/A,0.49,0.63,0.83,1.12,1.41,1.84,2.18,2.39,2.77,3.08
12/07/16,0.38,N/A,0.52,0.63,0.85,1.10,1.39,1.80,2.14,2.34,2.73,3.02
12/08/16,0.39,N/A,0.51,0.62,0.84,1.12,1.40,1.83,2.20,2.40,2.81,3.10
12/09/16,0.41,N/A,0.54,0.64,0.85,1.15,1.43,1.89,2.26,2.47,2.87,3.16
12/12/16,0.42,N/A,0.51,0.64,0.85,1.15,1.44,1.90,2.26,2.49,2.86,3.16
12/13/16,0.47,N/A,0.54,0.66,0.88,1.17,1.46,1.92,2.26,2.48,2.85,3.14
12/14/16,0.49,N/A,0.55,0.66,0.92,1.27,1.57,2.02,2.34,2.54,2.86,3.14
12/15/16,0.48,N/A,0.51,0.65,0.91,1.29,1.61,2.10,2.42,2.60,2.89,3.16
12/16/16,0.46,N/A,0.51,0.65,0.91,1.28,1.59,2.07,2.41,2.60,2.91,3.19
12/19/16,0.45,N/A,0.52,0.65,0.90,1.24,1.55,2.03,2.35,2.54,2.85,3.12
12/20/16,0.48,N/A,0.52,0.66,0.90,1.25,1.56,2.06,2.38,2.57,2.88,3.15
12/21/16,0.46,N/A,0.52,0.65,0.88,1.21,1.54,2.04,2.35,2.55,2.86,3.12
12/22/16,0.42,N/A,0.51,0.65,0.87,1.22,1.54,2.04,2.36,2.55,2.86,3.12
12/23/16,0.42,N/A,0.52,0.65,0.87,1.22,1.54,2.04,2.35,2.55,2.86,3.12
12/27/16,0.50,N/A,0.51,0.66,0.89,1.28,1.58,2.07,2.37,2.57,2.88,3.14
12/28/16,0.48,N/A,0.53,0.62,0.90,1.26,1.55,2.02,2.32,2.51,2.83,3.09
12/29/16,0.39,N/A,0.47,0.62,0.85,1.22,1.49,1.96,2.30,2.49,2.82,3.08
12/30/16,0.44,N/A,0.51,0.62,0.85,1.20,1.47,1.93,2.25,2.45,2.79,3.06
01/03/17,0.52,N/A,0.53,0.65,0.89,1.22,1.50,1.94,2.26,2.45,2.78,3.04
01/04/17,0.49,N/A,0.53,0.63,0.87,1.24,1.50,1.94,2.26,2.46,2.78,3.05
01/05/17,0.51,N/A,0.52,0.62,0.83,1.17,1.43,1.86,2.18,2.37,2.69,2.96
01/06/17,0.50,N/A,0.53,0.61,0.85,1.22,1.50,1.92,2.23,2.42,2.73,3.00
01/09/17,0.50,N/A,0.50,0.60,0.82,1.21,1.47,1.89,2.18,2.38,2.69,2.97
01/10/17,0.51,N/A,0.52,0.60,0.82,1.19,1.47,1.89,2.18,2.38,2.69,2.97
